,Marital Status,Date,Value
0,Total,1983,45.65
1,Single / Widowed / Divorced,1983,40.28
2,Married / Union / Cohabiting,1983,48.99
3,Total,1984,47.15
4,Single / Widowed / Divorced,1984,40.95
5,Married / Union / Cohabiting,1984,50.96
6,Total,1985,48.7
7,Single / Widowed / Divorced,1985,42.38
8,Married / Union / Cohabiting,1985,52.57
9,Total,1986,49.16
10,Single / Widowed / Divorced,1986,42.15
11,Married / Union / Cohabiting,1986,53.43
12,Total,1987,49.97
13,Single / Widowed / Divorced,1987,42.3
14,Married / Union / Cohabiting,1987,54.59
15,Total,1988,50.63
16,Single / Widowed / Divorced,1988,42.36
17,Married / Union / Cohabiting,1988,55.58
18,Total,1989,52.1
19,Single / Widowed / Divorced,1989,43.78
20,Married / Union / Cohabiting,1989,57.27
21,Total,1990,52.45
22,Single / Widowed / Divorced,1990,42.6
23,Married / Union / Cohabiting,1990,58.39
24,Total,1991,52.27
25,Single / Widowed / Divorced,1991,41.49
26,Married / Union / Cohabiting,1991,58.63
27,Total,1992,52.3
28,Single / Widowed / Divorced,1992,47.09
29,Married / Union / Cohabiting,1992,56.49
30,Total,1993,52.41
31,Single / Widowed / Divorced,1993,46.84
32,Married / Union / Cohabiting,1993,56.91
33,Total,1994,52.44
34,Single / Widowed / Divorced,1994,47.11
35,Married / Union / Cohabiting,1994,56.86
36,Total,1995,52.4
37,Single / Widowed / Divorced,1995,46.69
38,Married / Union / Cohabiting,1995,57.13
40,Total,1996,52.79
41,Single / Widowed / Divorced,1996,47.59
42,Married / Union / Cohabiting,1996,57.39
43,Total,1997,53.2
44,Single / Widowed / Divorced,1997,48.43
45,Married / Union / Cohabiting,1997,57.56
46,Total,1998,53.22
47,Single / Widowed / Divorced,1998,48.87
48,Married / Union / Cohabiting,1998,57.2
49,Total,1999,53.69
50,Single / Widowed / Divorced,1999,49.49
51,Married / Union / Cohabiting,1999,57.67
52,Total,2000,54.09
53,Single / Widowed / Divorced,2000,50.28
54,Married / Union / Cohabiting,2000,57.7
55,Total,2001,53.99
56,Single / Widowed / Divorced,2001,50.5
57,Married / Union / Cohabiting,2001,57.46
58,Total,2002,54.55
59,Single / Widowed / Divorced,2002,51.63
60,Married / Union / Cohabiting,2002,57.49
61,Total,2003,54.49
62,Single / Widowed / Divorced,2003,51.53
63,Married / Union / Cohabiting,2003,57.52
64,Total,2004,54.83
65,Single / Widowed / Divorced,2004,52.03
66,Married / Union / Cohabiting,2004,57.75
67,Total,2005,55.07
68,Single / Widowed / Divorced,2005,52.82
69,Married / Union / Cohabiting,2005,57.45
70,Total,2006,55.74
71,Single / Widowed / Divorced,2006,53.68
72,Married / Union / Cohabiting,2006,57.94
73,Total,2007,55.31
74,Single / Widowed / Divorced,2007,53.46
75,Married / Union / Cohabiting,2007,57.34
76,Total,2008,55.9
77,Single / Widowed / Divorced,2008,54.13
78,Married / Union / Cohabiting,2008,57.82
79,Total,2009,56.07
80,Single / Widowed / Divorced,2009,54.36
81,Married / Union / Cohabiting,2009,57.93
82,Total,2010,55.99
83,Single / Widowed / Divorced,2010,54.16
84,Married / Union / Cohabiting,2010,58.01
85,Total,2011,56.11
86,Single / Widowed / Divorced,2011,54.75
87,Married / Union / Cohabiting,2011,57.63
88,Total,2012,56.32
89,Single / Widowed / Divorced,2012,54.79
90,Married / Union / Cohabiting,2012,58.06
91,Total,2013,56.65
92,Single / Widowed / Divorced,2013,55.49
93,Married / Union / Cohabiting,2013,57.95
94,Total,2014,56.93
95,Single / Widowed / Divorced,2014,56.09
96,Married / Union / Cohabiting,2014,57.88
97,Total,2015,57.1
98,Single / Widowed / Divorced,2015,56.48
99,Married / Union / Cohabiting,2015,57.8
100,Total,2016,57.37
101,Single / Widowed / Divorced,2016,56.4
102,Married / Union / Cohabiting,2016,58.45
103,Total,2017,57.65
104,Single / Widowed / Divorced,2017,56.8
105,Married / Union / Cohabiting,2017,58.62
106,Total,2018,57.89
107,Single / Widowed / Divorced,2018,56.98
108,Married / Union / Cohabiting,2018,58.94
109,Total,2019,58.33
110,Single / Widowed / Divorced,2019,57.69
111,Married / Union / Cohabiting,2019,59.09
